ANO;DESPESA;VALOR;DATA;ORGAO;NOME_FAVORECIDO;CNPJ_FAVORECIDO;EMPENHO;FONTE;VALOR_PAGO;PAGO;LIQUIDADO;DOTACAO
2015; Aquisição de material de limpeza de uso geral para atender as necessidades do HMNF. conforme Processo n° 8867/14;2715.6; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; ACEPEL COMÉRCIO DE ALIMENTOS TRIRRIENSE LTDA;10881034000196;170;7;2715.6; SIM; SIM;" 0011030200702189 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades da Vigilância Sanitária. conforme Processo n° 8867/14;181.04; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; ACEPEL COMÉRCIO DE ALIMENTOS TRIRRIENSE LTDA;10881034000196;182;7;181.04; SIM; SIM;" 0011030500762198 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades da Vigilância em Saúde. conforme Processo n° 8867/14;362.08; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; ACEPEL COMÉRCIO DE ALIMENTOS TRIRRIENSE LTDA;10881034000196;192;7;362.08; SIM; SIM;" 0011030500762197 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades da Secretaria Municipal de Saúde. conforme Processo n° 8867/14;543.12; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; ACEPEL COMÉRCIO DE ALIMENTOS TRIRRIENSE LTDA;10881034000196;201;7;543.12; SIM; SIM;" 0011030200742186 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades da Estratégia Saúde da Familia. conforme Processo n° 8867/14;2172.48; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; ACEPEL COMÉRCIO DE ALIMENTOS TRIRRIENSE LTDA;10881034000196;212;7;2172.48; SIM; SIM;" 0011030100682171 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades do HMRS. conforme Processo n° 8867/14;432; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;168;7;432; SIM; SIM;" 0011030200702188 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades do HMNF. conforme Processo n° 8867/14;7137.9; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;176;7;7137.9; SIM; SIM;" 0011030200702189 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades da Vigilância Sanitária. conforme Processo n° 8867/14;165.2; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;178;7;165.2; SIM; SIM;" 0011030500762198 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades da Vigilância em Saúde. conforme Processo n° 8867/14;528.5; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;186;7;528.5; SIM; SIM;" 0011030500762197 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades da Secretaria Municipal de Saúde. conforme Processo n° 8867/14;559.7; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;197;7;559.7; SIM; SIM;" 0011030200742186 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades da Estratégia Saúde da Familia. conforme Processo n° 8867/14;5594.08; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;207;7;5594.08; SIM; SIM;" 0011030100682171 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades do CAPS. conforme Processo n° 8867/14;1091.69; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;216;7;1091.69; SIM; SIM;" 0011030200692184 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades do Programa de Atenção Básica em Saúde. conforme Processo n° 8867/14;7410.21; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;223;7;7410.21; SIM; SIM;" 0011030100682171 - 33903000000 - Fonte: 0007 - SUS"""
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA P/HMRS. CONFORME PROCESSO N° 8867/14;4460.2; 21/05/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;433;7;4460.2; SIM; SIM;" 0011030200742186 - 33903000000 - Fonte: 0007 - SUS"""
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA P/HMNF. CONFORME PROCESSO N° 8867/14;2175.35; 21/05/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;435;7;2175.35; SIM; SIM;" 0011030200702189 - 33903000000 - Fonte: 0007 - SUS"""
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA DE USO GERAL PARA ATENDER  AS NECESSIDADES DO HMRS. CONFORME PROCESSO N° 8867/14;52061; 23/07/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;514;7;11706; SIM; SIM;" 0011030200702188 - 33903000000 - Fonte: 0007 - SUS"""
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA DE USO GERAL PARA ATENDER  AS NECESSIDADES DO HMNF. CONFORME PROCESSO N° 8867/14;18274.7; 23/07/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;523;7;3499.96; SIM; SIM;" 0011030200702189 - 33903000000 - Fonte: 0007 - SUS"""
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA DE USO GERAL PARA ATENDER  AS NECESSIDADES DA VIGILÂNCIA SANITÁRIA. CONFORME PROCESSO  N° 8867/14;606.95; 23/07/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;532;7;606.95; SIM; SIM;" 0011030500762198 - 33903000000 - Fonte: 0007 - SUS"""
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA DE USO GERAL PARA ATENDER  AS NECESSIDADES DA VIGILÂNCIA EM SAÚDE. CONFORME PROCESSO  N° 8867/14;734.8; 23/07/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;540;7;734.8; SIM; SIM;" 0011030500762197 - 33903000000 - Fonte: 0007 - SUS"""
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA DE USO GERAL PARA ATENDER  AS NECESSIDADES DA SECRETARIA DE SAÚDE. CONFORME PROCESSO  N° 8867/14;684.25; 23/07/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;549;7;684.25; SIM; SIM;" 0011030200742186 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades do HMRS. conforme Processo n° 8867/14;432; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;168;7;432; SIM; SIM;" 0011030200702188 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades do HMNF. conforme Processo n° 8867/14;7137.9; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;176;7;7137.9; SIM; SIM;" 0011030200702189 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades da Vigilância Sanitária. conforme Processo n° 8867/14;165.2; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;178;7;165.2; SIM; SIM;" 0011030500762198 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades da Vigilância em Saúde. conforme Processo n° 8867/14;528.5; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;186;7;528.5; SIM; SIM;" 0011030500762197 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades da Secretaria Municipal de Saúde. conforme Processo n° 8867/14;559.7; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;197;7;559.7; SIM; SIM;" 0011030200742186 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades da Estratégia Saúde da Familia. conforme Processo n° 8867/14;5594.08; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;207;7;5594.08; SIM; SIM;" 0011030100682171 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades do CAPS. conforme Processo n° 8867/14;1091.69; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;216;7;1091.69; SIM; SIM;" 0011030200692184 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades do Programa de Atenção Básica em Saúde. conforme Processo n° 8867/14;7410.21; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;223;7;7410.21; SIM; SIM;" 0011030100682171 - 33903000000 - Fonte: 0007 - SUS"""
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA P/HMRS. CONFORME PROCESSO N° 8867/14;4460.2; 21/05/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;433;7;4460.2; SIM; SIM;" 0011030200742186 - 33903000000 - Fonte: 0007 - SUS"""
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA P/HMNF. CONFORME PROCESSO N° 8867/14;2175.35; 21/05/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;435;7;2175.35; SIM; SIM;" 0011030200702189 - 33903000000 - Fonte: 0007 - SUS"""
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA DE USO GERAL PARA ATENDER  AS NECESSIDADES DO HMRS. CONFORME PROCESSO N° 8867/14;52061; 23/07/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;514;7;11706; SIM; SIM;" 0011030200702188 - 33903000000 - Fonte: 0007 - SUS"""
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA DE USO GERAL PARA ATENDER  AS NECESSIDADES DO HMNF. CONFORME PROCESSO N° 8867/14;18274.7; 23/07/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;523;7;3499.96; SIM; SIM;" 0011030200702189 - 33903000000 - Fonte: 0007 - SUS"""
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA DE USO GERAL PARA ATENDER  AS NECESSIDADES DA VIGILÂNCIA SANITÁRIA. CONFORME PROCESSO  N° 8867/14;606.95; 23/07/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;532;7;606.95; SIM; SIM;" 0011030500762198 - 33903000000 - Fonte: 0007 - SUS"""
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA DE USO GERAL PARA ATENDER  AS NECESSIDADES DA VIGILÂNCIA EM SAÚDE. CONFORME PROCESSO  N° 8867/14;734.8; 23/07/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;540;7;734.8; SIM; SIM;" 0011030500762197 - 33903000000 - Fonte: 0007 - SUS"""
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA DE USO GERAL PARA ATENDER  AS NECESSIDADES DA SECRETARIA DE SAÚDE. CONFORME PROCESSO  N° 8867/14;684.25; 23/07/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;549;7;684.25; SIM; SIM;" 0011030200742186 - 33903000000 - Fonte: 0007 - SUS"""
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA DE USO GERAL PARA ATENDER  AS NECESSIDADES DA ESTRATÉGIA DE SAÚDE DA FAMÍLIA. CONFORME  PROCESSO N° 8867/14;8282; 23/07/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;558;7;8282; SIM; SIM;" 0011030100682173 - 33903000000 - Fonte: 0007 - SUS"""
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA DE USO GERAL PARA ATENDER  AS NECESSIDADES DO CAPS. CONFORME PROCESSO N° 8867/14;1948.4; 23/07/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;568;7;1948.4; SIM; SIM;" 0011030200692184 - 33903000000 - Fonte: 0007 - SUS"""
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA DE USO GERAL PARA ATENDER  AS NECESSIDADES DO PROGRAMA DE ATENÇÃO BÁSICA EM SAÚDE.  CONFORME PROCESSO N° 8867/14;9714.39; 23/07/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;577;7;9714.39; SIM; SIM;" 0011030100682171 - 33903000000 - Fonte: 0007 - SUS"""
2015; VALOR REFERENTE AS DIÁRIAS REGISTRADO NA FOLHA DE     PAGAMENTO DO MÊS:       - ASSISTÊNCIA SOCIAL - RP - CONTRATADOS;0; 28/07/2015; FUNDO MUNICIPAL DE HABITAÇÃO E INTERESSE SOCIAL DE; 3 TEC LTDA ME;329754000190;1;13;0; NÃO; SIM;" 0011545100711035 - 44905100000 - Fonte: 0013 - DIRET ARRECADADOS"""
2015; RESTAURAÇÃO DE UM CONJUNTO DE ESTÁTUAS HISTÓRICAS E  CENTENÁRIAS EM MÁRMORE CARRARA. CONFORME PROCESSO N °16198/14;30800; 09/09/2015; FUNDAÇÃO MUNICIPAL DO PRÓ - MEMÓRIA ( FUNDAÇÃO DJ; ABÓBADA PROJETOS E OBRAS LTDA;1310974000134;3;0;0; NÃO; NÃO;" 0011339100612215 - 33903900000 - Fonte: 0000 - ORDINÁRIOS (NÃO VINCULADO)"""
2015; AQUISIÇÃO DE PIGMENTO EM PÓ AMARELO. CONFORME PROCESSO N °9398/15;11200; 23/10/2015; PREFEITURA MUNICIPAL DE NOVA FRIBURGO; ABS LOPES REPRESENTAÇÃO COMERCIAL;7687910000133;805;1;11200; SIM; SIM;" 0020412200012002 - 33903000000 - Fonte: 0001 - RECURSOS DE IMPOSTOS E TRANSFERÊNCIAS DE IMPOSTOS"""
2015; AQUISIÇÃO DE FERRAMENTAS. CONFORME PROCESSO N°9398/15;1506; 23/10/2015; PREFEITURA MUNICIPAL DE NOVA FRIBURGO; ABS LOPES REPRESENTAÇÃO COMERCIAL;7687910000133;806;1;1506; SIM; SIM;" 0020412200012002 - 33903000000 - Fonte: 0001 - RECURSOS DE IMPOSTOS E TRANSFERÊNCIAS DE IMPOSTOS"""
2015; SUBVENÇÃO - LEI MUNICIPAL Nº4363. CONFORME PROCESSO Nº30502/14;111767; 06/02/2015; PREFEITURA MUNICIPAL DE NOVA FRIBURGO; ACAO SOCIAL ANCHIETA-CRECHE BERCARIO SAO JOSE;30177273000177;329;1;111767; SIM; SIM;" 0031236500102129 - 33504300000 - Fonte: 0001 - RECURSOS DE IMPOSTOS E TRANSFERÊNCIAS DE IMPOSTOS"""
2015; SUBVENÇÃO - LEI MUNICIPAL Nº4363. CONFORME PROCESSO Nº30502/14;111767; 06/02/2015; PREFEITURA MUNICIPAL DE NOVA FRIBURGO; ACAO SOCIAL ANCHIETA-CRECHE BERCARIO SAO JOSE;30177273000177;330;1;111767; SIM; SIM;" 0041236500102129 - 33504300000 - Fonte: 0001 - RECURSOS DE IMPOSTOS E TRANSFERÊNCIAS DE IMPOSTOS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades do HMRS. conforme Processo n° 8867/14;13578; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; ACEPEL COMÉRCIO DE ALIMENTOS TRIRRIENSE LTDA;10881034000196;166;7;13578; SIM; SIM;" 0011030200702188 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades do HMNF. conforme Processo n° 8867/14;2715.6; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; ACEPEL COMÉRCIO DE ALIMENTOS TRIRRIENSE LTDA;10881034000196;170;7;2715.6; SIM; SIM;" 0011030200702189 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades da Vigilância Sanitária. conforme Processo n° 8867/14;181.04; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; ACEPEL COMÉRCIO DE ALIMENTOS TRIRRIENSE LTDA;10881034000196;182;7;181.04; SIM; SIM;" 0011030500762198 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades da Vigilância em Saúde. conforme Processo n° 8867/14;362.08; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; ACEPEL COMÉRCIO DE ALIMENTOS TRIRRIENSE LTDA;10881034000196;192;7;362.08; SIM; SIM;" 0011030500762197 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades da Secretaria Municipal de Saúde. conforme Processo n° 8867/14;543.12; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; ACEPEL COMÉRCIO DE ALIMENTOS TRIRRIENSE LTDA;10881034000196;201;7;543.12; SIM; SIM;" 0011030200742186 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades da Estratégia Saúde da Familia. conforme Processo n° 8867/14;2172.48; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; ACEPEL COMÉRCIO DE ALIMENTOS TRIRRIENSE LTDA;10881034000196;212;7;2172.48; SIM; SIM;" 0011030100682171 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades do CAPS. conforme Processo n° 8867/14;362.08; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; ACEPEL COMÉRCIO DE ALIMENTOS TRIRRIENSE LTDA;10881034000196;221;7;362.08; SIM; SIM;" 0011030200692184 - 33903000000 - Fonte: 0007 - SUS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades do Programa de Atenção Básica em Saúde. conforme Processo n° 8867/14;2036.7; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; ACEPEL COMÉRCIO DE ALIMENTOS TRIRRIENSE LTDA;10881034000196;227;7;2036.7; SIM; SIM;" 0011030100682171 - 33903000000 - Fonte: 0007 - SUS"""
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA P/HMRS. CONFORME PROCESSO N° 8867/14;17198.8; 21/05/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; ACEPEL COMÉRCIO DE ALIMENTOS TRIRRIENSE LTDA;10881034000196;429;7;17198.8; SIM; SIM;" 0011030200742186 - 33903000000 - Fonte: 0007 - SUS"""
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA P/HMNF. CONFORME PROCESSO N° 8867/14;2715.6; 21/05/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; ACEPEL COMÉRCIO DE ALIMENTOS TRIRRIENSE LTDA;10881034000196;438;7;2715.6; SIM; SIM;" 0011030200702189 - 33903000000 - Fonte: 0007 - SUS"""
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA DE USO GERAL PARA ATENDER  AS NECESSIDADES DO HMNF. CONFORME PROCESSO N° 8867/14;21045.9; 23/07/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; ACEPEL COMÉRCIO DE ALIMENTOS TRIRRIENSE LTDA;10881034000196;526;7;10636.1; SIM; SIM;" 0011030200702189 - 33903000000 - Fonte: 0007 - SUS"""
