ASSINATURA;VENCIMENTO;FORNECEDOR;VALOR;OBJETIVO
13/02/2015;12/03/2015;LIGA INDEPENDENTE DAS ESCOLAS DE SAMBA E BLOCOS DE;128040;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TITULO DE SUBVENÇÃO PARA A  LIGA. PARA REALIZAÇÃO DO CARNAVAL  2015. CONFORME O DESCRITO NO  PLANO DE TRABALHO DE FLS. 04/05 DO POROCESSO ADMINISTRATIVO  Nº 1738/15.
24/02/2015;31/12/2015;ASSOC FRIBURG. DE AMIGOS E PAIS DO EDUCANDO  AFAPE;148501.2;
24/02/2015;31/12/2015;ASSOCIACAO PESTALOZZI DE FRIBURGO;139708;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR  A CONVENIADA NA MANUTENÇÃO  DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS. CONFORME O DISPOSTO NO PLANO DE TRABALHO DE FLS. 04/10 DO CITADO PROCESSO ADMINISTRATIVO.
24/02/2015;31/12/2015;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS-APAE;419126;O PRESENTE CONVÊNIO  TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO  DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS. CONFORME O DISPOSTO   NO PLANO DE TRABALHO DESCRITO ÀS FLS. 04/05 DO PROCESSO ADMINISTRATIVO Nº  29093/
24/02/2015;05/12/2015;CRECHE COLMEIA DO SENHOR;701124;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR  A CONVENIADA NA MANUTENÇÃO DAS SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS. CONFORME O  DISPOSTO  NO PLANODE TRABALHO  DESCRITO ÀS FLS. 04/05 DO PROCESSO  ADMINISTRATIVO Nº  29667/14.
24/02/2015;31/12/2015;ACAO SOCIAL ANCHIETA - ASA;225534;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO  DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS. CONFORME O DISPOSTO NO PLANO DE TRABALHO DESCRITO ÀS FLS. 04/05 DO PROCESSO ADMINISTRATIVO Nº 30502/14
24/02/2015;31/12/2015;ASSOCIACAO DE PAIS E AMIGOS DA CRIANCA- APAC;240000;O PRESENBTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO  DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES COM TODAS E AS ETAPAS E METAS . CONFORME O DISPOSTO  NO PLANO DE TRABALHO DSCRITO  ÀS FLS. 04/06 DO PROCESSO ADMINISTRATIVO Nº 29666/1
24/02/2015;31/12/2015;ASSOC FRIBURG. DE AMIGOS E PAIS DO EDUCANDO  AFAPE;419126;O PRESENTE  CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES . COM TODAS AS ETAPAS  E METAS. CONFORME O DISPOSTO NO PLANO DE TRABALHO DESCRITO  ÀS  FLS. 04/05 DO PROCESSO ADMINISTRATIVO Nº 29214/1
24/02/2015;31/12/2015;INSTITUTO GIRASOL DO BRASIL;132000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR O CONVENIADO NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES  COM TODAS AS  ETAPAS E METAS. CONFORME PLANO DE TRABALHO DESCRITO  ÀS FLS. 06/12 DO PROCESSO ADMINISTRATIVO Nº 29212/14..
24/02/2015;31/12/2015;ASSOCIACAO CRIANCAS DO  VALE DE LUZ;191485;O PRESENTE CONVÊNIO  TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇAÕ DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS CONFORME O DISPOSTO  NO PLANO DETRABALHO DESCRITO ÀS FLS. 04/06 DO  PROCESSO ADMINISTRATIVO Nº  25682/14
24/02/2015;31/12/2015;INSTITUTO BELGICA-NOVA FRIBURGO;230000;O PRESENTE CONVÊNIO TEM POR OBJETO  SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO  DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES . COM TODAS AS ETAPAS  E METAS. CONFORME O DISPOSTO NO PLANO DE TRABALHO DESCRIRO ÀS FLS. 04/06 DO PROCESSO ADMINISTRATIVO Nº 29926/
24/02/2015;31/12/2015;LAR ABRIGO AMOR A JESUS;290000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO  DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS. CONFORME O DISPOSTO NO  PLANO DE TRABALHO  DESCRITO ÀS FLS. 122/123 DO PROCESSO ADMINISTRATIVO Nº 30753/1
13/02/2015;28/08/2015;BLOCO CARNAVALESCO RAIO DE LUAR;26000;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TITULO DE SUBVENÇÃO PARA BLOCO. QUE DEVERÁ REALIZAR O  DESFILE  NO  CARNAVAL  DE 2015. NA AVENIDA ALBERTO BRAUNE.
30/03/2015;31/12/2015;SOCIEDADE MUSICAL BENEF. EUTERPE FRIBURGUENSE;140000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO  PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS CONFORME O DISPOSTO NO PLANO DE TRABALHO DESCRITO ÀS FLS. 05/06 DO PROCESSO ADMINISTRATIVO  Nº 5553/15.
23/03/2015;30/06/2015;LEARNING  FACTORY  LTDA.;1;O PRESWENTE CONVÊNIO TEM POR OBJETO A IMPLANTAÇÃO DE PROJETO PILOTO EXPERIMENTAL PARA CAPACITAÇÃO DE PROFESSORES E MONITORAMENTO DO ENSINO DA LÍNGUA INGLESA COM FOCO NA ORALIDADE AOS ALUNOS DO ENSINO FUNDAMENTAL. ANOS INICIAIS (4º  AO  5º ANOS).   DAS UNI
19/03/2015;31/03/2020;INSTITUTO DE GRADUAÇÃO E PROFISSIONALIZAÇÃO - CÊFEL/IGP;1;O OBJETO DO PRESENTE CONVÊNIO É A CONCESSÃO DE VAGAS. PELA PARTE CONCEDENTE. DE ACORDO COM OS LIMITES DA MUNICIPALIDADE E DE ACORDO COM AS DETERMINAÇÕES DO PROGRAMA DE DESENVOLVIMENTO DE ESTÁGIOS DE ESTUDANTES - PDEE. PARA ALUNOS REGULARMENTE MATRICULADOS NOS DIVERSOS CURSOS DA INSTITUIÇÃO DE ENSINO. PROPORCIONANDO-LHES A EXPERIÊNCIA PRÁTICA NECESSÁRIA À FORMAÇÃO PROFISSIONAL...
24/04/2015;30/03/2020;ASSOCIACAO EDUCACIONAL CARLOS E ZELIA CO;1;O OBJETO DO PRESENTE CONVÊNIO É A CONCESSÃO DE VAGAS DE ESTÁGIO. PELA PARTE CONCEDENTE. DE ACORDO COM OS LIMITES DA MUNICIPALIDADE E DE ACORDO COM AS DETERMINAÇÕES DO PROGRAMA DE DESENVOLVIMENTO DE ESTÁGIO  DE ESTUDANTES - PDEE. PARA ALUNOS REGULARMENTE
15/04/2015;31/12/2015;COMBINA - COMPANHIA DOS BICHOS E DA NATUREZA;100000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO  DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS. CONFORME  O  DISPOSTO NO PLANO DE TRABALHO DESCRITO DE FLS. 04/05 DO PROCESSO ADMINISTRATIVO Nº 29927/201
08/05/2015;04/06/2015;MITRA DIOCESANA DE NOVA FRIBURGO;45000;"O PRESENTE CONVÊNIO TEM POR OBJETO A REALIZAÇÃO DE ESPETÁCULO DE RELIGIOSO. CULTURAL E TURÍSTICO - SOLENIDADE DE ""CORPUS CHRISTI - (CONFECÇÃO DE TAPETES NA AVENIDA ALBERTO BRAUNE) NA FORMA DO PLANO DE TRABALHO DESCRITO ÀS FLS. 04/05 DO PROCESSO ADMINISTR"
08/05/2015;23/11/2015;UNIÃO BRASILEIRA DE TROVADORES - NOVA FRIBURGO;15000;O PRESENTE CONVÊNIO TEM POR OBJETO A REALIZAÇÃO  POR PARTE DA CONVENIADA DOS  LVI  JOGOS FLORAIS DE NOVA FRIBURGO. CONFORME PLANO DE TRABALHO DE FLS. 05/06 DO PROCESSO ADMINISTRATIVO Nº 9821/15.
31/07/2015;31/07/2020;CENTRO FEDERAL DE EDUCACAO TECNOLOGICA - CEFET;1;O OBJETO DO PRESENTE CONVÊNIO É A CONCESSÃO DE VAGAS DE ESTÁGIO. PELA PARTE CONCEDENTE. DE ACORDO COM OS LIMITES DA MUNICIPALIDADE E DE ACORDO COM AS DETERMINAÇÕES DO PROGRAMA DE DESENVOLVIMENTO DE ESTÁGIO  DE ESTUDANTES - PDEE. PARA ALUNOS REGULARMENTE MATRICULADOS NOS DIVERSOS  CURSOS   DA INSTITUIÇÃO DE ENSINO ( CEFET)  PROPORCIONANDO-LHES A EXPERIÊNCIA PRÁTICA NECESSÁRIA À FORMAÇÃO PROFISSIONAL. PREPARANDO-OS PARA A EMPREGABILIDADE. PARA A VIDA CIDADÃ E PARA O TRABALHO. POR MEIO DE ATIVIDADES CORRELATAS ÀS SUAS PRETENDIDAS FORMAÇÕES PROFISSIONAIS. EM COMPLEMENTAÇÃO AO CONHECIMENTO TEÓRICO ADQUIRIDO  NA INSTITUIÇÃO DE ENSINO ( CEFET).  A DURAÇÃO DA VIG^NCIA DESTE CONTRATO SERÁ DE 60 ( SESSENTA ) MESES  CONTADOS A PARTIR DA DATA DA PUBLICAÇÃO.
11/06/2015;11/06/2020;ASSOCIAÇÃO SALGADO DE OLIVEIRA DE EDUCAÇÃO E CULTURA - ASOEC;1;O OBJETO DO PRESENTE CONVÊNIO  E A CONCESSÃO DE VAGAS DE ESTÁGIO OBRIGATÓRIO E NÃO OBRIGATÓRIO. QUANDO PRESENTE DISPONIBILIDADE ORÇAMENTÁRIA  E EM CONFORMIDADE COM O QUE DISCIPLINA  O DECRETO MUNICIPAL Nº 24/15. PELA PARTE CONCEDENTE PARA ALUNOS DA INSTITUIÇÃO DE ENSINO (ASOEC). NA QUAL ESTEJAM DEVIDAMENTE MATRICULADOS NOS CURSOS OFERECIDOS PELO POLO  EAD UNIVERSO NOVA FRIBURGO. DE ACORDO COM OS LIMITES DA MUNICIPALIDADE E DE ACORDO COM AS DETERMINAÇÕES DO PROGRAMA DE DESENVOLVIMENTO DE ESTÁGIO DE ESTUDANTES - PDEE. PROPORCIONANDO-LHES A EXPERIÊNCIA PRÁTICA NECESSÁRIA À FORMAÇÃO PROFISSIONAL. PREPARANDO-OS PARA A EMPREGABILIDADE . PARA A VIDA CIDADÃ E PARA O TRABALHO. POR MEIO DE ATIVIDADES CORRELATAS ÀS SUAS PRETENDIDAS  FORMAÇÕES PROFISSIONAIS EM COMPLEMENTAÇÃO  AO CONHECIMENTO  TE
25/06/2015;31/12/2015;ASSOCIAÇÃO ESPORTIVA DOS CLUBES DE FUTEBOL OLARIA CONEGO E CASCATINHA -AESPORT;25000;O PRESENTE CONVÊNIO. TEM  POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS. CONFORME O DISPOSTO NO PLANO DE TRABALHO DESCRITO ÀS FLS. 04/05 DO PROCESSO ADMINISTRATIVO Nº 13.836/15.
20/07/2015;20/07/2020;MUNICÍPIO DE ANGRA DOS REIS;1;CLÁUSULA PRIMEIRA -   1.1  -  O CONVÊNIO TEM POR OBJETO A COOPERAÇÃO TÉCNICA. CIENTÍFICA E PROFISSIONAL ENTRE OS SIGNATÁRIOS. POSSIBILITANDO A CESSÃO E PERMUTA DE FUNCIONÁRIOS PÚBLICOS ESTÁVEIS. VIABILIZANDO. DESSA FORMA A INTEGRAÇÃO ENTRE OS CONVENENTES.                                               1.2 -  NESTE CONVÊNIO. AS PARTES PODERÃO CEDER E PERMUTAR SERVIDORES ATRAVÉS DA FORMALIZAÇÃO DO RESPECTIVO INSTRUMENTO. A TÍTULO PRECÁRIO.  VISANDO  POSSIBILITAR  A INTEGRAÇÃO DE COOPERAÇÃO TÉCNICA E CIENTÍFICA PELAS PARTES CONVENENTES. FICANDO A ORGANIZAÇÃO E EDIÇÃO DOS ATOS REGULAMENTARES A CARGO DAS SECRETARIAS DE ADMINISTRAÇÃO OU ÓRGÃOS EQUIVALENTES. COMPETENTES PARA O MISTER DOS RESPECTIVOS SIGNATÁRIOS.OBS.:  O PRESENTE CONVÊNIO TERÁ  VIGÊNCIA POR PRAZO INDETERMINADO E INÍCIO  A PARTIR DA SUA ASSINATURA.
12/08/2015;20/06/2025;ORSAF - ORGANIZAÇÃO DE SERVIÇOS E ASSISTÊNCIA FUNERAL LTDA.;1;CLÁUSULA PRIMEIRA - O PRESENTE CONVÊNIO TEM POR OBJETO O CREDENCIAMENTO DA CONVENIADA JUNTO À MUNICIPALIDADE PARA PRESTAÇÃO DE SERVIÇOS DE ASSISTÊNCIA FUNERAL E LOCAÇÃO DE MATERIAL PARA CONVALESCENTES POR LIVRE ADESÃO DOS SERVIDORES PÚBLICOS MUNICIPAIS. COM DESCONTO EM FOLHA DE PAGAMENTO.  CONFORME PROCESSO ADMINISTRATIVO EM REFERÊNCIA.CLÁUSULA SEGUNDA - A CONVENIADA DEVERÁ PRESTAR OS SERVIÇOS PREVISTOS NA CLÁUSULA PRIMEIRA AOS SERVIDORES DA CONVENENTE. COM CONSIGNAÇÃO EM FOLHA DE PAGAMENTO. CUJOS VENCIMENTOS DA PRESTAÇÃO SE DARÃO SEMPRE NO DIA DO PAGAMENTO DOS SERVIDORES PELO  CONV ENENTE.
18/09/2015;30/09/2020;PREFEITURA MUNICIPAL DE SANTO ANTONIO DE PADUA;1;1.1  -  O CONVENIO TEM POR OBJETO A COOPERAÇÃO TÉCNICA. CIENTÍFICA E PROFISSIONAL ENTRE OS SIGNATÁRIOS. POSSIBILITANDO A CESSÃO E PERMUTA DE FUNCIONÁRIOS PÚBLICOS VIABILIZANDO.  DESTA  FORMA.  A INTEGRAÇÃO ENTRE OS CONVENENTES.1.2  -  NESTE CONVENIO. AS PARTES PODERÃO CEDER E PERMUTAR SERVIDORES ATRAVÉS DA FORMALIZAÇÃO DO RESPECTIVO INSTRUMENTO. A TÍTULO PRECÁRIO.  VISANDO POSSIBILITAR A INTEGRAÇÃO DE COOPERAÇÃO TÉCNICA E CIENTÍFICA PELAS PARTES CONVENENTES. FICANDO  A ORGANIZAÇÃO E EDIÇÃO DOS ATOS REGULAMENTARES A CARGO DAS SECRETARIAS DEADMINISTRAÇÃO OU ÓRGÃOS EQUIVALENTES. COMPETENTES PARA O MISTER. DOS RESPECTIVOS SIGNATÁRIOS.
08/10/2015;16/10/2015;AMORANGO ASSOCIACAO DOS AGRICULTORES FAMILIARES PRODUTORES DE MORANGO DE NOVA FRIBURGO;11000;O PRESENTE CONVÊNIO TEM POR OBJETO A REALIZAÇÃO POR PARTE DA CONVENIADA DA 2ª FESTA DO MORANGO COM CHOCOLATE. CONFORME PLANO DE TRABALHO DE FLS. 04/05 DO PROCESSO ADMINISTRATIVO Nº 2545/15.CLÁUSULA SEGUNDA  -  CUMPRE À CONVENIADA  A RESPONSABILIDADE  PELA EXECUÇÃO DOS OBJETIVOS DE FLS.  04/05 DO SUPRA CITADO PROCESSO ADMINISTRATIVO.
18/11/2015;18/11/2017;CENTRO EDUCACIONAL E EMPRESARIAL EM SAÚDE CURSO POTENCIA;1;O OBJETO DO PRESENTE CONVÊNIO É A CONCESSÃO DE VAGAS DE ESTÁGIO. PELA PARTE CONCEDENTE. DE ACORDO COM OS LIMITES DA MUNICIPALIDADE E DE ACORDO COM AS DETERMINAÇÕES DO PROGRAMA DESENVOLVIMENTO DE ESTÁGIO DE ESTUDANTES - PDEE. PARA ALUNOS REGULARMENTE  MATRICULADOS NOS DIVERSOS CURSOS DA INSTITUIÇÃO DE ENSINO E  QUE RESIDEM NESTE MUNICÍPIO. PROPORCIONANDO-LHES A EXPERIÊNCIA PRÁTICA E NECESSÁRIA À FORMAÇÃO PROFISSIONAL. PREPARANDO-OS PARA A EMPREGABILIDADE. PARA A VIDA CIDAD
03/12/2015;03/12/2020;INTERMED-MEDICINA. ODONTOLOGIA E INTERMEDIAÇÃO E AGENCIAMENTO DE SERVIÇOS LTDA-ME;1;O PRESENTE CONVÊNIO TEM POR OBJETO O CREDENCIAMENTO DA CONVENIADA JUNTO À MUNICIPALIDADE PARA PRESTAÇÃO DE SERVIÇOS DE ASSISTÊNCIA ODONTOLÓGICA AOS FUNCIONÁRIO EFETIVOS. CONTRATADOS E COMISSIONADOS DO MUNICÍPIO E SEUS RESPECTIVOS DEPENDENTES POR LIVRE ADESÃO. COM DESCONTO EM FOLHA DE PAGAMENTO. CONFORME PROCESSOADMINISTRATIVO EM REFERÊNCIA.1.2 - O TRATAMENTO ODONTOLÓGICO SERÁ TOTALMENTE CUSTEADO PELO FUNCIONÁRIO E O VALOR DO INVESTIMENTO NO PLANO EM TELA SERÁ DE  R$ 25.00 ( VINTE E CINCO REAIS )-INDIVIDUAL E R$ 48.00 ( QUARENTA E OITO REAIS ) - FAMILIAR (INCLUÍDO. TITULAR. CONJUGE E FILHOS ATÉ 21 ANOS).
17/12/2015;31/01/2016;ASSOCIACAO DOS GRUPOS DE FOLIA DE REIS DE NOVA FRI;15000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES. COM TODAS AS  ETAPAS E METAS. CONFORME O DISPOSTO NO PLANO DETRABALHO DESCRITO ÀS FLS. 04/05 DO PROCESSO ADMINISTRATIVO Nº 30222/15..
01/12/2015;02/12/2015;SOCIEDADE MUSICAL CAMPESINA FRIBURGUENSE;140000;O PRESENTE CONVÊNIO TEM POR OBJETO A REALIZAÇÃO DE 01 (UM) GRANDE  CONCERTO DE NATAL DA BANDA SINFÔNICA  CAMPESINA FRIBURGUENSE  COM A ILUSTRE PARTICIPAÇÃO ESPECIAL DO RENOMADO SAMBISTA MARTINHO DA  VILA. BANDA GAITAS ESCOCESAS CAMPESINA FRIBURGUENSE. SOLISTA E CORO DE CONVIDADOS NA FORMA DO PLANO DE TRABALHO DESCRITO ÀS FLS. 154/155 DO PROCESSO ADMINISTRATIVO Nº 5231/15.
